date,open,high,low,close,volume,taker_buy_volume,pvsra_label,rsi,target,dxy
2023-10-06 04:00:00,27559.2,27560.97,27488.5,27527.87,729.06805,377.15769,bear100,23.931325301205064,buy,106.04000091552734
2023-10-06 05:00:00,27527.87,27532.0,27477.84,27499.99,474.78645,211.71828,bear100,43.91845578968344,buy,106.04000091552734
2023-10-06 06:00:00,27499.99,27519.4,27464.48,27491.66,551.59393,317.76655,bear100,56.39213014223625,sell,106.04000091552734
2023-10-06 07:00:00,27491.65,27651.0,27482.82,27638.52,1268.68673,688.12656,bull200,66.77410283588182,hold,106.04000091552734
2023-10-06 08:00:00,27638.51,27668.2,27603.95,27616.68,1041.16962,510.20239,bear100,62.86826955638289,hold,106.04000091552734
2023-10-06 09:00:00,27616.68,27705.85,27588.53,27690.6,1087.28968,615.0539,bull100,70.98354381936446,buy,106.04000091552734
2023-10-06 10:00:00,27690.6,27801.0,27664.8,27670.5,1593.1738,734.20691,bear200,68.2744351874086,buy,106.04000091552734
2023-10-06 11:00:00,27670.49,27770.0,27609.71,27760.0,1483.09684,736.22375,bull200,75.48587589200565,buy,106.04000091552734
2023-10-06 12:00:00,27760.0,27768.2,27207.63,27252.99,4262.7089,1957.28927,bear200,41.71838793220968,buy,106.04000091552734
2023-10-06 13:00:00,27252.99,27707.52,27175.94,27526.1,3869.4618,1926.36298,bull200,54.28971817096589,buy,106.04000091552734
2023-10-06 14:00:00,27526.1,27706.58,27467.14,27670.0,2217.22577,1175.47429,bull100,57.36023405565053,buy,106.04000091552734
2023-10-06 15:00:00,27670.0,28044.86,27632.55,27941.12,4224.61424,2212.16553,bull200,62.79997344967207,hold,106.04000091552734
2023-10-06 16:00:00,27941.12,28023.51,27800.0,27877.74,2750.83831,1267.1398,bear100,59.90977975646438,hold,106.04000091552734
2023-10-06 17:00:00,27877.73,28005.68,27789.14,27958.52,1505.6528,775.68331,bull100,61.35038031676015,hold,106.04000091552734
2023-10-06 18:00:00,27958.53,27993.56,27866.66,27904.12,1174.66308,642.22818,bear100,60.556188381319046,hold,106.04000091552734
2023-10-06 19:00:00,27904.12,28038.0,27877.59,27952.36,1639.10887,908.38077,bull100,62.54847461012267,hold,106.04000091552734
2023-10-06 20:00:00,27952.35,28017.55,27895.47,27977.6,843.24052,412.53667,bull100,63.35440255029134,hold,106.04000091552734
2023-10-06 21:00:00,27977.59,28295.0,27930.11,28042.37,2179.9027,1144.45174,bull100,61.62285372213366,sell,106.04000091552734
2023-10-06 22:00:00,28042.38,28137.53,27966.85,27971.25,1008.73976,477.09499,bear100,59.92309371484229,hold,106.04000091552734
2023-10-06 23:00:00,27971.25,27980.01,27877.6,27931.09,884.95428,398.56999,bear100,56.86004917761571,hold,106.04000091552734
2023-10-07 00:00:00,27931.1,27955.9,27842.08,27912.91,1119.24899,523.23913,bear100,56.92240035181708,hold,106.04000091552734
2023-10-07 01:00:00,27912.92,27953.27,27871.36,27901.94,676.69081,346.83924,bear100,54.24365275834437,hold,106.04000091552734
2023-10-07 02:00:00,27901.95,27919.06,27871.99,27878.83,456.90589,225.31106,bear100,76.32942918686071,hold,106.04000091552734
2023-10-07 03:00:00,27878.84,27944.8,27871.69,27900.41,530.41773,260.66355,bull100,69.97491861892331,hold,106.04000091552734
2023-10-07 04:00:00,27900.41,27935.23,27900.4,27915.01,362.30726,175.36422,bull100,65.16808023277417,hold,106.04000091552734
2023-10-07 05:00:00,27915.02,27944.84,27887.36,27900.44,388.03807,202.12052,bear100,46.30919978225359,hold,106.04000091552734
2023-10-07 06:00:00,27900.45,27911.66,27875.0,27890.01,432.54455,194.86711,bear100,51.23155676001174,hold,106.04000091552734
